treatment,aphid_no,Morphotype,Block,Rep,offspring
risk,10,Apterous,1,1,19
risk,7,Apterous,1,2,12
risk,5,Apterous,1,3,3
risk,10,Apterous,1,4,16
risk,7,Apterous,1,5,16
risk,6,Apterous,1,6,13
risk,11,Apterous,1,7,22
risk,4,Apterous,1,8,8
risk,8,Apterous,1,9,3
risk,7,Apterous,1,10,6
risk,8,Apterous,1,11,12
risk,9,Apterous,1,12,21
risk,11,Apterous,1,15,13
risk,8,Apterous,1,14,7
risk,8,Apterous,1,15,12
risk,9,Apterous,2,1,3
risk,5,Apterous,2,2,1
risk,8,Apterous,2,3,16
risk,1,Apterous,2,4,0
risk,11,Apterous,2,5,8
risk,12,Apterous,2,6,47
risk,4,Apterous,2,7,14
risk,7,Apterous,2,8,0
risk,6,Apterous,2,9,7
risk,7,Apterous,2,10,11
risk,4,Apterous,2,11,6
risk,9,Apterous,2,12,16
risk,2,Apterous,2,15,2
risk,11,Apterous,2,14,28
risk,7,Apterous,2,15,6
control,6,Apterous,1,1,13
control,13,Apterous,1,2,20
control,7,Apterous,1,3,5
control,9,Apterous,1,4,30
control,13,Apterous,1,5,41
control,11,Apterous,1,6,23
control,7,Apterous,1,7,8
control,13,Apterous,1,8,15
control,12,Apterous,1,9,17
control,12,Apterous,1,10,20
control,4,Apterous,1,11,9
control,9,Apterous,1,12,10
control,10,Apterous,1,15,10
control,11,Apterous,1,14,10
control,7,Apterous,1,15,8
control,9,Apterous,2,1,10
control,9,Apterous,2,2,15
control,5,Apterous,2,3,10
control,10,Apterous,2,4,14
control,8,Apterous,2,5,12
control,1,Apterous,2,6,0
control,13,Apterous,2,7,8
control,6,Apterous,2,8,4
control,13,Apterous,2,9,23
control,10,Apterous,2,10,11
control,11,Apterous,2,11,25
control,6,Apterous,2,12,12
control,15,Apterous,2,15,22
control,10,Apterous,2,14,25
control,12,Apterous,2,15,22
risk,3,Alates,1,1,3
risk,6,Alates,1,2,5
risk,2,Alates,1,3,2
risk,5,Alates,1,4,6
risk,10,Alates,1,5,3
risk,9,Alates,1,6,6
risk,10,Alates,1,7,5
risk,7,Alates,1,8,7
risk,4,Alates,1,9,5
risk,5,Alates,1,10,0
risk,15,Alates,1,11,7
risk,1,Alates,1,12,2
risk,12,Alates,1,15,14
risk,8,Alates,1,14,3
risk,3,Alates,1,15,6
risk,13,Alates,2,1,10
risk,6,Alates,2,2,11
risk,11,Alates,2,3,21
risk,6,Alates,2,4,10
risk,10,Alates,2,5,12
risk,14,Alates,2,6,14
risk,15,Alates,2,7,8
risk,1,Alates,2,8,0
risk,4,Alates,2,9,7
risk,2,Alates,2,10,8
risk,6,Alates,2,11,11
risk,11,Alates,2,12,9
risk,2,Alates,2,15,6
risk,3,Alates,2,14,2
risk,6,Alates,2,15,11
control,16,Alates,1,1,25
control,9,Alates,1,2,8
control,13,Alates,1,3,14
control,12,Alates,1,4,25
control,7,Alates,1,5,8
control,8,Alates,1,6,11
control,12,Alates,1,7,16
control,5,Alates,1,8,2
control,9,Alates,1,9,8
control,8,Alates,1,10,14
control,4,Alates,1,11,8
control,18,Alates,1,12,41
control,4,Alates,1,15,9
control,8,Alates,1,14,7
control,20,Alates,1,15,39
control,2,Alates,2,1,4
control,11,Alates,2,2,8
control,4,Alates,2,3,5
control,8,Alates,2,4,7
control,7,Alates,2,5,9
control,3,Alates,2,6,4
control,6,Alates,2,7,8
control,13,Alates,2,8,30
control,13,Alates,2,9,25
control,16,Alates,2,10,29
control,11,Alates,2,11,13
control,4,Alates,2,12,3
control,14,Alates,2,15,12
control,14,Alates,2,14,20
control,2,Alates,2,15,6