Morphotype,Block,Rep,# Aphids PR,# Aphids C,# New Aphis PR,#New Aphids C
Apterous,1,1,10,6,19,13
Apterous,1,2,7,13,12,20
Apterous,1,3,5,7,3,5
Apterous,1,4,10,9,16,30
Apterous,1,5,7,13,16,41
Apterous,1,6,6,11,13,23
Apterous,1,7,11,7,22,8
Apterous,1,8,4,13,8,15
Apterous,1,9,8,12,3,17
Apterous,1,10,7,12,6,20
Apterous,1,11,8,4,12,9
Apterous,1,12,9,9,21,10
Apterous,1,15,11,10,13,10
Apterous,1,14,8,11,7,10
Apterous,1,15,8,7,12,8
Apterous,2,1,9,9,3,10
Apterous,2,2,5,9,1,15
Apterous,2,3,8,5,16,10
Apterous,2,4,1,10,0,14
Apterous,2,5,11,8,8,12
Apterous,2,6,12,1,47,0
Apterous,2,7,4,13,14,8
Apterous,2,8,7,6,0,4
Apterous,2,9,6,13,7,23
Apterous,2,10,7,10,11,11
Apterous,2,11,4,11,6,25
Apterous,2,12,9,6,16,12
Apterous,2,15,2,15,2,22
Apterous,2,14,11,10,28,25
Apterous,2,15,7,12,6,22
Alates,1,1,3,16,3,25
Alates,1,2,6,9,5,8
Alates,1,3,2,13,2,14
Alates,1,4,5,12,6,25
Alates,1,5,10,7,3,8
Alates,1,6,9,8,6,11
Alates,1,7,10,12,5,16
Alates,1,8,7,5,7,2
Alates,1,9,4,9,5,8
Alates,1,10,5,8,0,14
Alates,1,11,15,4,7,8
Alates,1,12,1,18,2,41
Alates,1,15,12,4,14,9
Alates,1,14,8,8,3,7
Alates,1,15,3,20,6,39
Alates,2,1,13,2,10,4
Alates,2,2,6,11,11,8
Alates,2,3,11,4,21,5
Alates,2,4,6,8,10,7
Alates,2,5,10,7,12,9
Alates,2,6,14,3,14,4
Alates,2,7,15,6,8,8
Alates,2,8,1,13,0,30
Alates,2,9,4,13,7,25
Alates,2,10,2,16,8,29
Alates,2,11,6,11,11,13
Alates,2,12,11,4,9,3
Alates,2,15,2,14,6,12
Alates,2,14,3,14,2,20
Alates,2,15,6,2,11,6